iter	Passed	Remaining
0	60	60131
1	60	30282
2	61	20307
3	61	15316
4	61	12324
5	62	10327
6	62	8903
7	63	7832
8	63	6998
9	63	6332
10	64	5787
11	64	5333
12	65	4948
13	65	4619
14	65	4332
15	66	4083
16	66	3862
17	67	3666
18	67	3490
19	68	3332
20	68	3189
21	68	3059
22	69	2940
23	69	2832
24	70	2731
25	70	2638
26	70	2552
27	71	2472
28	71	2397
29	72	2328
30	72	2263
31	72	2202
32	73	2146
33	73	2092
34	74	2041
35	74	1993
36	74	1948
37	75	1905
38	75	1864
39	76	1825
40	76	1788
41	76	1753
42	77	1719
43	77	1687
44	78	1656
45	78	1627
46	78	1599
47	79	1572
48	79	1546
49	80	1521
50	80	1498
51	80	1474
52	81	1452
53	81	1431
54	82	1410
55	82	1390
56	82	1371
57	83	1352
58	83	1334
59	84	1317
60	84	1302
61	84	1285
62	85	1269
63	85	1254
64	86	1239
65	86	1225
66	86	1211
67	87	1198
68	87	1185
69	88	1174
70	88	1162
71	89	1151
72	89	1139
73	90	1127
74	90	1116
75	90	1105
76	91	1094
77	91	1084
78	92	1073
79	92	1063
80	92	1053
81	93	1044
82	93	1032
83	93	1023
84	94	1014
85	94	1007
86	95	998
87	95	990
88	95	982
89	96	974
90	96	966
91	97	958
92	97	951
93	97	944
94	98	937
95	98	929
96	99	922
97	99	916
98	99	909
99	100	902
100	100	896
101	101	890
102	101	884
103	101	877
104	102	871
105	102	866
106	103	860
107	103	854
108	103	849
109	104	843
110	104	838
111	105	833
112	105	827
113	105	822
114	106	817
115	106	812
116	106	807
117	107	802
118	107	797
119	108	792
120	108	788
121	108	783
122	109	778
123	109	774
124	110	770
125	110	765
126	110	761
127	111	757
128	111	753
129	111	749
130	112	745
131	112	741
132	113	737
133	113	733
134	113	730
135	114	726
136	114	722
137	115	719
138	115	715
139	115	712
140	116	708
141	116	704
142	116	701
143	117	699
144	118	696
145	118	693
146	119	691
147	119	688
148	119	685
149	120	682
150	120	678
151	121	675
152	121	672
153	121	669
154	122	666
155	122	664
156	123	661
157	123	658
158	123	655
159	124	652
160	124	649
161	124	646
162	125	643
163	125	640
164	126	638
165	126	635
166	126	633
167	127	630
